@relation dataset-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C9-L1-5-V-H-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C10-L1-3-V-H-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C11-L1-3-V-H

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute outputs-1 {0,1,2,3,4}
@attribute outputs-2 {0,1,2}
@attribute outputs-3 {0,1,2}

@data
81,'2019/10/29 11:01:48:062',6,0,0,615,435,0,?,2,?
82,'2019/10/29 11:01:48:079',6,0,0,615,435,0,?,2,?
83,'2019/10/29 11:01:48:096',6,0,0,614,434,0,?,2,?
84,'2019/10/29 11:01:48:113',6,0,0,614,434,0,?,2,?
85,'2019/10/29 11:01:48:129',6,0,0,614,431,0,?,2,?
86,'2019/10/29 11:01:49:629',7,0,0,597,262,0,?,2,?
87,'2019/10/29 11:01:49:644',7,0,0,597,262,0,?,2,?
88,'2019/10/29 11:01:49:662',7,0,0,597,262,0,?,2,?
89,'2019/10/29 11:01:49:678',7,0,0,597,262,0,?,2,?
90,'2019/10/29 11:01:49:695',7,0,0,597,262,0,?,2,?
91,'2019/10/29 11:01:49:712',7,0,0,597,262,0,?,2,?
92,'2019/10/29 11:01:49:729',7,0,0,596,261,0,?,2,?
93,'2019/10/29 11:01:49:745',7,0,0,596,261,0,?,2,?
94,'2019/10/29 11:01:49:762',7,0,0,597,263,0,?,2,?
95,'2019/10/29 11:01:49:777',7,0,0,597,263,0,?,2,?
96,'2019/10/29 11:01:49:795',7,0,0,596,266,0,?,2,?
97,'2019/10/29 11:01:49:811',7,0,0,596,266,0,?,2,?
98,'2019/10/29 11:01:49:828',7,0,0,596,268,0,?,2,?
99,'2019/10/29 11:01:49:845',7,0,0,596,268,0,?,2,?
100,'2019/10/29 11:01:51:494',8,0,0,356,356,0,?,2,?
101,'2019/10/29 11:01:51:511',8,0,0,356,356,0,?,2,?
102,'2019/10/29 11:01:51:528',8,0,0,355,355,0,?,2,?
103,'2019/10/29 11:01:51:545',8,0,0,355,355,0,?,2,?
104,'2019/10/29 11:01:51:561',8,0,0,354,355,0,?,2,?
105,'2019/10/29 11:01:51:578',8,0,0,354,355,0,?,2,?
106,'2019/10/29 11:01:51:595',8,0,0,354,355,0,?,2,?
107,'2019/10/29 11:01:51:611',8,0,0,354,355,0,?,2,?
108,'2019/10/29 11:01:51:628',8,0,0,354,356,0,?,2,?
109,'2019/10/29 11:01:51:644',8,0,0,354,356,0,?,2,?
110,'2019/10/29 11:01:51:661',8,0,0,354,357,0,?,2,?
111,'2019/10/29 11:01:51:678',8,0,0,354,357,0,?,2,?
112,'2019/10/29 11:01:51:694',8,0,0,355,358,0,?,2,?
113,'2019/10/29 11:01:51:711',8,0,0,355,358,0,?,2,?
114,'2019/10/29 11:01:51:727',8,0,0,355,357,0,?,2,?
115,'2019/10/29 11:01:51:744',8,0,0,355,357,0,?,2,?
116,'2019/10/29 11:01:51:760',8,0,0,354,357,0,?,2,?
117,'2019/10/29 11:01:52:611',9,0,0,314,68,0,?,2,?
118,'2019/10/29 11:01:52:628',9,0,0,347,49,0,?,2,?
119,'2019/10/29 11:01:52:644',9,0,0,347,49,0,?,2,?
120,'2019/10/29 11:01:52:661',9,0,0,380,35,0,?,2,?
121,'2019/10/29 11:01:52:677',9,0,0,380,35,0,?,2,?
122,'2019/10/29 11:01:52:732',9,0,0,410,28,0,?,2,?
123,'2019/10/29 11:01:52:735',9,0,0,410,28,0,?,2,?
124,'2019/10/29 11:01:52:735',9,0,0,437,39,0,?,2,?
125,'2019/10/29 11:01:52:743',9,0,0,437,39,0,?,2,?
126,'2019/10/29 11:01:52:760',9,0,0,478,64,0,?,2,?
127,'2019/10/29 11:01:52:777',9,0,0,478,64,0,?,2,?
128,'2019/10/29 11:01:52:794',9,0,0,496,100,0,?,2,?
129,'2019/10/29 11:01:52:811',9,0,0,496,100,0,?,2,?
130,'2019/10/29 11:01:52:827',9,0,0,522,151,0,?,2,?
131,'2019/10/29 11:01:52:844',9,0,0,522,151,0,?,2,?
132,'2019/10/29 11:01:52:861',9,0,0,549,209,0,?,2,?
133,'2019/10/29 11:01:52:877',9,0,0,549,209,0,?,2,?
134,'2019/10/29 11:01:54:143',10,0,0,500,109,0,?,2,?
135,'2019/10/29 11:01:54:160',10,0,0,500,109,0,?,2,?
136,'2019/10/29 11:01:54:177',10,0,0,500,109,0,?,2,?
137,'2019/10/29 11:01:54:193',10,0,0,530,138,0,?,2,?
138,'2019/10/29 11:01:54:209',10,0,0,530,138,0,?,2,?
139,'2019/10/29 11:01:54:226',10,0,0,554,178,0,?,2,?
140,'2019/10/29 11:01:54:243',10,0,0,554,178,0,?,2,?
